97.1831,96.4912,0.0000,0.0045,67.2222,77.2222,0.0000,0.0047,64.5833,63.4021,0.0000,0.0199
96.4912,96.1268,0.0000,0.0033,70.5556,71.1111,0.0000,0.0046,65.4639,62.5000,0.0000,0.0179
94.3662,97.1930,0.0000,0.0033,68.8889,75.0000,0.0000,0.0046,62.5000,63.4021,0.0000,0.0196
97.1930,95.7746,0.0000,0.0032,69.4444,80.5556,0.0000,0.0046,58.2474,63.0208,0.0000,0.0182
95.7746,96.4912,0.0000,0.0032,67.2222,68.8889,0.0000,0.0047,66.6667,59.7938,0.0000,0.0195
95.4386,96.1268,0.0000,0.0034,74.4444,71.1111,0.0000,0.0047,61.3402,63.0208,0.0000,0.0184
96.8310,95.4386,0.0000,0.0033,64.4444,72.2222,0.0000,0.0047,60.9375,62.8866,0.0000,0.0195
96.4912,95.4225,0.0000,0.0032,67.7778,75.5556,0.0000,0.0046,65.4639,64.0625,0.0000,0.0179
95.0704,96.8421,0.0000,0.0032,68.3333,71.1111,0.0000,0.0046,65.6250,60.3093,0.0000,0.0196
97.8947,95.7746,0.0000,0.0032,70.0000,79.4444,0.0000,0.0047,63.4021,65.1042,0.0000,0.0178
