98.2394,96.1404,36.6667,0.4551,67.7778,72.2222,51.1111,0.5532,71.3542,65.9794,46.4029,6.9751
98.2456,94.7183,56.6667,0.1732,72.2222,69.4444,50.0000,0.4835,68.5567,66.1458,44.9640,13.4345
97.5352,96.8421,43.3333,0.1489,78.3333,68.8889,55.5556,0.4735,70.3125,67.5258,51.4388,12.0010
97.8947,94.3662,46.6667,0.2400,72.2222,65.0000,52.2222,0.8669,70.6186,64.5833,55.7554,10.1242
96.1268,95.7895,53.3333,0.1297,72.7778,72.2222,47.7778,1.3308,70.3125,64.9485,46.0432,10.4594
95.7895,93.6620,40.0000,0.1450,77.7778,72.2222,52.2222,0.7180,71.6495,63.5417,46.7626,10.6536
98.2394,94.7368,40.0000,0.2836,73.3333,63.8889,54.4444,0.7888,69.2708,68.0412,52.5180,11.3403
96.8421,93.6620,53.3333,0.3218,75.5556,72.2222,50.0000,0.5195,75.2577,61.9792,53.2374,12.0454
97.1831,96.4912,46.6667,0.2175,65.0000,66.6667,51.1111,0.4979,69.2708,65.9794,51.7986,8.9624
96.8421,97.1831,46.6667,0.1219,75.0000,68.3333,46.6667,0.6539,69.5876,64.5833,47.4820,8.8302
