97.1831,96.4912,0.0000,0.0047,68.8889,71.1111,0.0000,0.0047,64.0625,60.3093,0.0000,0.0201
96.4912,96.1268,0.0000,0.0032,72.2222,75.5556,0.0000,0.0047,60.8247,63.5417,0.0000,0.0184
96.4789,96.8421,0.0000,0.0033,72.2222,73.3333,0.0000,0.0047,62.5000,61.8557,0.0000,0.0195
96.8421,97.1831,0.0000,0.0034,73.3333,75.0000,0.0000,0.0047,60.8247,65.6250,0.0000,0.0182
96.8310,96.4912,0.0000,0.0033,70.0000,77.7778,0.0000,0.0047,61.9792,64.4330,0.0000,0.0196
97.1930,96.4789,0.0000,0.0037,66.6667,76.1111,0.0000,0.0047,63.9175,63.0208,0.0000,0.0181
95.0704,96.1404,0.0000,0.0035,68.3333,63.3333,0.0000,0.0047,64.0625,62.3711,0.0000,0.0195
95.7895,96.4789,0.0000,0.0035,71.1111,75.0000,0.0000,0.0046,62.3711,61.9792,0.0000,0.0184
95.7746,95.0877,0.0000,0.0033,65.5556,77.7778,0.0000,0.0047,65.1042,61.8557,0.0000,0.0196
96.8421,96.4789,0.0000,0.0033,73.3333,73.3333,0.0000,0.0046,60.8247,67.1875,0.0000,0.0181
