97.8873,95.4386,83.3333,0.2453,78.8889,65.5556,90.0000,0.9302,84.8958,68.0412,96.4029,3.4950
97.5439,93.3099,80.0000,0.2493,76.6667,70.5556,91.1111,0.8259,81.9588,68.7500,96.0432,3.8653
97.5352,95.4386,86.6667,0.1729,75.5556,70.5556,90.0000,0.9302,84.3750,73.1959,96.7626,3.0406
95.0877,94.3662,86.6667,0.1784,80.5556,71.6667,90.0000,0.9252,75.2577,66.6667,98.9209,1.0483
95.4225,92.2807,86.6667,0.1742,71.6667,74.4444,91.1111,0.8206,73.9583,70.6186,98.5612,1.3368
97.5439,94.7183,83.3333,0.2216,75.0000,72.2222,91.1111,0.8245,82.9897,73.9583,97.1223,2.6323
97.1831,92.2807,93.3333,0.0992,75.5556,68.3333,90.0000,0.9266,78.6458,67.5258,98.2014,1.6346
97.1930,94.3662,76.6667,0.2978,77.7778,72.7778,90.0000,0.9279,72.6804,72.3958,98.5612,1.3186
97.8873,94.7368,86.6667,0.1752,69.4444,67.2222,92.2222,0.7209,81.2500,76.2887,97.1223,2.6349
97.1930,95.0704,83.3333,0.2161,81.1111,72.7778,87.7778,1.1426,72.1649,71.3542,99.2806,0.7371
